Country,Year,total_deaths,conflict_events,Conflict,prev_conflict,prev_year_deaths,rolling_conflict_3yr,rolling_deaths_3yr,event_change,conflict_streak,Future_Conflict,Conflict_Probability,Risk_Level,Articles_Fetched,Raw_Score,Matched_Keywords,Top_Article_1,Top_Article_2,Top_Article_3,Top_Article_4,Top_Article_5,Source_1,Source_2,Source_3,URL_1,URL_2,URL_3,News_Risk_Score,Live_Risk_Level,GeoRisk_Live_Score,Dynamic_Risk_Level,Emerging_Threat
Colombia,2023,534,413,1,1.0,360.0,1.0,282.3333333333333,241.0,35,1,0.9977765536244216,Critical,,,,,,,,,,,,,,,0.0,,0.6984435875370951,High,False
Sudan,2023,7837,375,1,1.0,1407.0,1.0,965.3333333333334,265.0,35,1,0.9976212930744632,Critical,,,,,,,,,,,,,,,0.0,,0.6983349051521243,High,False
Brazil,2023,2481,2159,1,1.0,1703.0,1.0,2344.6666666666665,645.0,9,1,0.9971184909712536,Critical,,,,,,,,,,,,,,,0.0,,0.6979829436798775,High,False
Cameroon,2023,638,294,1,1.0,667.0,1.0,762.0,69.0,10,1,0.9970110855240732,Critical,,,,,,,,,,,,,,,0.0,,0.6979077598668513,High,False
Burkina Faso,2023,6122,599,1,1.0,2704.0,1.0,1776.3333333333333,362.0,8,1,0.9969023013467668,Critical,,,,,,,,,,,,,,,0.0,,0.6978316109427367,High,False
Niger,2023,513,97,1,1.0,664.0,1.0,871.3333333333334,24.0,9,1,0.9961542341092368,Critical,,,,,,,,,,,,,,,0.0,,0.6973079638764657,High,False
Kenya,2023,224,57,1,1.0,101.0,1.0,129.0,26.0,19,1,0.992371186054496,Critical,,,,,,,,,,,,,,,0.0,,0.6946598302381471,High,False
Ethiopia,2023,2346,579,1,1.0,165025.0,1.0,106323.33333333331,-300.0,26,1,0.99127945630441,Critical,,,,,,,,,,,,,,,0.0,,0.693895619413087,High,False
Somalia,2023,4216,247,1,1.0,3115.0,1.0,2501.333333333333,-91.0,35,1,0.9911717376827884,Critical,,,,,,,,,,,,,,,0.0,,0.6938202163779519,High,False
Yemen (North Yemen),2023,931,319,1,1.0,3220.0,1.0,11145.666666666666,-136.0,15,1,0.9898794004210963,Critical,,,,,,,,,,,,,,,0.0,,0.6929155802947674,High,False
DR Congo (Zaire),2023,3936,828,1,1.0,5967.0,1.0,4566.0,-371.0,35,1,0.9888849614580096,Critical,,,,,,,,,,,,,,,0.0,,0.6922194730206067,High,False
Central African Republic,2023,423,86,1,1.0,773.0,1.0,717.3333333333334,-19.0,15,1,0.9876632865629668,Critical,,,,,,,,,,,,,,,0.0,,0.6913643005940767,High,False
Mali,2023,2118,320,1,1.0,3656.0,1.0,2162.0,-89.0,12,1,0.9851813593594873,Critical,,,,,,,,,,,,,,,0.0,,0.689626951551641,High,False
Mozambique,2023,271,100,1,1.0,717.0,1.0,1420.6666666666667,-168.0,6,1,0.984261188170218,Critical,,,,,,,,,,,,,,,0.0,,0.6889828317191525,High,False
Chad,2023,112,11,1,1.0,114.0,1.0,343.3333333333333,-1.0,9,1,0.9841442158722484,Critical,,,,,,,,,,,,,,,0.0,,0.6889009511105738,High,False
Iraq,2023,498,242,1,1.0,1027.0,1.0,995.3333333333334,-129.0,35,1,0.9834462844533284,Critical,,,,,,,,,,,,,,,0.0,,0.6884123991173299,High,False
South Sudan,2023,224,10,1,1.0,728.0,1.0,789.0,-25.0,13,1,0.9821134655059904,Critical,,,,,,,,,,,,,,,0.0,,0.6874794258541933,High,False
Philippines,2023,269,117,1,1.0,247.0,1.0,311.0,-11.0,35,1,0.9769730722791128,Critical,,,,,,,,,,,,,,,0.0,,0.6838811505953789,High,False
Ecuador,2023,540,454,1,1.0,118.0,0.6666666666666666,140.0,443.0,3,1,0.9720936286671712,Critical,,,,,,,,,,,,,,,0.0,,0.6804655400670198,High,False
Turkey,2023,108,58,1,1.0,107.0,1.0,155.0,-7.0,9,1,0.9715920085457638,Critical,,,,,,,,,,,,,,,0.0,,0.6801144059820347,High,False
Indonesia,2023,94,39,1,1.0,64.0,1.0,55.66666666666666,6.0,6,1,0.9648549979318514,Critical,,,,,,,,,,,,,,,0.0,,0.675398498552296,High,False
Russia (Soviet Union),2023,204,87,1,1.0,67.0,0.6666666666666666,34.0,55.0,2,1,0.9631566218585575,Critical,,,,,,,,,,,,,,,0.0,,0.6742096353009902,High,False
Haiti,2023,454,49,1,1.0,236.0,1.0,180.66666666666663,-16.0,4,1,0.9554436180738224,Critical,,,,,,,,,,,,,,,0.0,,0.6688105326516757,High,False
Azerbaijan,2023,442,11,1,1.0,154.0,1.0,2606.6666666666665,2.0,4,0,0.9428250537418836,Critical,,,,,,,,,,,,,,,0.0,,0.6599775376193185,High,False
Togo,2023,76,20,1,1.0,62.0,0.3333333333333333,20.666666666666668,12.0,2,1,0.8602922582503425,Critical,,,,,,,,,,,,,,,0.0,,0.6022045807752398,High,False
Benin,2023,46,20,1,1.0,30.0,0.3333333333333333,14.0,12.0,2,1,0.8392971167264288,Critical,,,,,,,,,,,,,,,0.0,,0.5875079817085002,High,False
Lebanon,2023,123,39,1,0.0,0.0,0.0,6.666666666666667,39.0,1,1,0.8258817521331284,Critical,,,,,,,,,,,,,,,0.0,,0.5781172264931899,High,False
Thailand,2023,31,25,1,1.0,36.0,1.0,41.333333333333336,-1.0,21,1,0.804503785524209,Critical,,,,,,,,,,,,,,,0.0,,0.5631526498669462,High,False
Burundi,2023,125,39,1,1.0,48.0,1.0,91.33333333333331,-3.0,10,1,0.7945955467491698,Critical,,,,,,,,,,,,,,,0.0,,0.5562168827244188,High,False
Bangladesh,2023,12,11,0,0.0,13.0,0.0,6.666666666666667,2.0,0,1,0.6986593344959038,High,,,,,,,,,,,,,,,0.0,,0.4890615341471326,Medium,False
Honduras,2023,105,27,1,0.0,6.0,0.0,5.666666666666667,24.0,1,0,0.6221152569923519,High,,,,,,,,,,,,,,,0.0,,0.43548067989464634,Medium,False
Ghana,2023,15,9,0,0.0,16.0,0.0,5.333333333333333,4.0,0,0,0.5967340376609013,High,,,,,,,,,,,,,,,0.0,,0.4177138263626309,Medium,False
Kyrgyzstan,2023,0,0,0,1.0,68.0,0.6666666666666666,36.0,-32.0,0,0,0.5695392539708302,High,,,,,,,,,,,,,,,0.0,,0.39867747777958107,Medium,False
Papua New Guinea,2023,1,1,0,1.0,109.0,0.6666666666666666,49.0,-15.0,0,1,0.5292410890289331,High,,,,,,,,,,,,,,,0.0,,0.3704687623202531,Medium,False
France,2023,48,42,1,0.0,0.0,0.0,0.0,42.0,1,0,0.5290025873547521,High,,,,,,,,,,,,,,,0.0,,0.3703018111483265,Medium,False
Angola,2023,0,1,0,0.0,21.0,0.3333333333333333,21.0,-16.0,0,1,0.5227768242065474,High,,,,,,,,,,,,,,,0.0,,0.36594377694458313,Medium,False
Venezuela,2023,16,15,0,1.0,39.0,0.3333333333333333,21.33333333333333,-8.0,0,0,0.1465511825964811,Low,25.0,87.0,"{'military': 3, 'war': 4, 'attack': 2, 'sanctions': 1}",What's happening between U.S. and Cuba? Here's a timeline of recent tensions,Cuba’s President Warns There Will Be a “Bloodbath” If the US Attacks Cuba.,"Venezuela Fury, 16, and Noah Price, 19, lark around poolside as the newlyweds share fun videos from their £30k Marbella honeymoon",Trump’s Iran Regime-Change Plan Was Even Crazier Than Anyone Imagined,A Truly Bizarre Invocation of the “Unwilling or Unable” Test,PBS,Thoughtcatalog.com,Dailymail.com,https://www.pbs.org/newshour/world/whats-happening-between-u-s-and-cuba-heres-a-timeline-of-recent-tensions,https://thoughtcatalog.com/chris-lavergne/2026/05/cubas-president-warns-there-will-be-a-bloodbath-if-the-us-attacks-cuba/,https://www.dailymail.com/tvshowbiz/article-15834653/Venezuela-Fury-Noah-Price-Marbella-honeymoon.html,0.7909090909090909,Critical,0.33985855509026397,Medium,True
Uganda,2023,79,12,1,1.0,25.0,0.3333333333333333,16.0,6.0,2,0,0.4481689206067135,Medium,,,,,,,,,,,,,,,0.0,,0.3137182444246994,Medium,False
Saudi Arabia,2023,9,3,0,0.0,0.0,0.0,2.0,3.0,0,0,0.40236318828992,Medium,,,,,,,,,,,,,,,0.0,,0.28165423180294397,Medium,False
Peru,2023,12,2,0,0.0,14.0,0.0,15.0,-1.0,0,0,0.3758821792287111,Medium,,,,,,,,,,,,,,,0.0,,0.26311752546009776,Medium,False
Egypt,2023,6,4,0,1.0,236.0,1.0,302.3333333333333,-64.0,0,0,0.3518274640075933,Medium,,,,,,,,,,,,,,,0.0,,0.24627922480531528,Low,False
China,2023,1,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0.2020203200114487,Low,25.0,38.0,"{'war': 3, 'attack': 1}",Gateway of India boats to go electric in phased shift,HC awards Rs 10L to bizman jailed after condiments flagged as heroin at airport,The 10 countries with the highest birth rates — and the 10 with the lowest,Memory makers brace for hydrogen fluoride pricing shock as Hormuz blockade impacts supply chain — key etching and cleaning material faces sharp cost increase amid trade disruption,Middle Tennessee State U. Graduates Boo Music Executive Who Discovered Taylor Swift for Praising AI,The Times of India,The Times of India,Business Insider,https://timesofindia.indiatimes.com/city/mumbai/gateway-of-india-boats-to-go-electric-in-phased-shift/articleshow/131231879.cms,https://timesofindia.indiatimes.com/city/bhopal/hc-awards-rs-10l-to-bizman-jailed-after-condiments-flagged-as-heroin-at-airport/articleshow/131231835.cms,https://www.businessinsider.com/countries-birth-rates-ranked,0.3454545454545454,Medium,0.2450505876443777,Low,False
Guatemala,2023,10,2,0,0.0,13.0,0.0,4.666666666666667,-1.0,0,1,0.3160698967398815,Medium,,,,,,,,,,,,,,,0.0,,0.22124892771791704,Low,False
Algeria,2023,1,1,0,0.0,14.0,0.3333333333333333,20.0,-2.0,0,0,0.2990670148888132,Medium,,,,,,,,,,,,,,,0.0,,0.20934691042216924,Low,False
Morocco,2023,5,2,0,0.0,14.0,0.0,7.333333333333333,-2.0,0,0,0.2670308155415142,Medium,,,,,,,,,,,,,,,0.0,,0.18692157087905992,Low,False
Tunisia,2023,3,1,0,0.0,3.0,0.0,11.0,0.0,0,0,0.2606606837209229,Medium,,,,,,,,,,,,,,,0.0,,0.182462478604646,Low,False
Poland,2023,0,0,0,0.0,2.0,0.0,0.6666666666666666,-1.0,0,0,0.2411174264361545,Low,,,,,,,,,,,,,,,0.0,,0.16878219850530815,Low,False
Kingdom of eSwatini (Swaziland),2023,3,2,0,0.0,2.0,0.3333333333333333,17.333333333333332,0.0,0,0,0.2286967948509041,Low,,,,,,,,,,,,,,,0.0,,0.16008775639563286,Low,False
